Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual
1993,,,,,,,,,,13.958,14.734,24.624,,,,,
1994,51.089999999999996,23.45,20.194,3.614,0.556,0.0,0.0,0.0,1.092,20.389999999999997,59.41400000000001,9.61,84.14999999999999,24.364,0.0,80.896,378.82
1995,12.59,21.354,37.19,2.2640000000000002,0.0,0.0,0.0,0.0,0.0,12.652000000000001,31.968,24.582,58.526,39.454,0.0,44.620000000000005,285.20000000000005
1996,19.524,23.472,14.302,0.8340000000000001,1.6680000000000001,0.0,0.0,0.0,1.3900000000000001,67.664,14.222000000000001,22.917999999999996,65.914,16.804,0.0,83.27600000000001,331.98800000000006
1997,18.028,12.808000000000002,51.348,9.394,0.0,0.0,0.0,0.0,0.0,19.608,13.823999999999998,41.024,71.86,60.742,0.0,33.432,332.06800000000004
1998,28.531999999999996,6.434,5.6,0.0,0.0,0.0,0.0,0.0,3.6,41.564,19.680000000000003,16.058,51.023999999999994,5.6,0.0,64.84400000000001,242.93599999999998
1999,26.686,19.168,6.32,17.374000000000002,16.022000000000002,0.0,0.0,0.0,4.152,46.93,31.477999999999998,34.432,80.286,39.71600000000001,0.0,82.56,405.124
2000,18.946,3.0620000000000003,11.73,28.204,2.36,0.0,0.0,0.0,5.758,14.967999999999996,31.208,17.541999999999998,39.55,42.294,0.0,51.934,267.5559999999999
2001,21.145999999999997,15.708000000000002,4.518000000000001,9.241999999999999,1.1320000000000001,0.0,0.0,0.0,0.0,43.262,20.744,28.546,65.4,14.892,0.0,64.006,288.596
2002,16.204000000000004,22.37,6.958,2.514,10.812000000000001,0.0,0.0,0.0,0.0,3.9240000000000004,16.729999999999997,20.317999999999998,58.892,20.284,0.0,20.653999999999996,199.66
2003,29.204,7.046,25.145999999999994,2.086,5.332,0.0,0.0,0.0,29.02,14.068000000000001,23.644000000000005,26.036,62.286,32.56399999999999,0.0,66.732,323.164
2004,22.156,6.5680000000000005,27.998,9.132,0.0,0.0,0.0,0.0,4.256,38.69999999999999,51.141999999999996,42.658,71.382,37.13,0.0,94.09799999999998,405.22
2005,57.678,15.44,6.864000000000001,19.554000000000002,0.0,0.0,0.0,0.0,0.0,25.153999999999996,53.03399999999999,11.179999999999998,84.29799999999999,26.418000000000003,0.0,78.18799999999999,377.808
2006,19.171999999999997,9.414000000000001,18.02,21.796,13.718,0.0,0.0,0.0,0.0,20.044000000000004,31.225999999999996,38.028,66.614,53.534000000000006,0.0,51.269999999999996,342.83599999999996
2007,22.987999999999996,23.408,18.57,0.22,3.426,0.0,0.0,0.0,10.686,33.34400000000001,9.89,21.324,67.72,22.216,0.0,53.92000000000001,287.71200000000005
2008,27.938000000000002,33.008,23.691999999999997,16.712,1.988,0.0,0.0,0.0,11.304,44.760000000000005,21.566,28.183999999999997,89.13,42.391999999999996,0.0,77.63000000000001,418.30400000000003
2009,64.31,51.23400000000001,41.45400000000001,4.796,4.846,0.0,0.0,0.0,2.958,31.704,17.990000000000002,5.022,120.56600000000002,51.096000000000004,0.0,52.652,448.62800000000004
2010,32.412,8.74,11.442,4.644,6.24,0.0,0.0,0.0,29.464,33.84599999999999,60.662,30.276,71.428,22.326,0.0,123.97199999999998,435.452
2011,28.674,20.604,5.620000000000001,4.686,34.146,0.0,0.0,0.0,1.17,49.23800000000001,39.019999999999996,37.482,86.75999999999999,44.452,0.0,89.428,441.28
2012,26.908,12.850000000000001,20.228,7.044,7.852000000000001,0.0,0.0,0.0,3.736,18.664,31.136000000000003,20.358,60.116,35.124,0.0,53.536,297.552
2013,25.55,13.690000000000001,5.064,31.837999999999997,1.32,0.0,0.0,0.0,0.0,21.194,30.476,49.478,88.718,38.222,0.0,51.67,357.22
2014,18.614,4.502000000000001,8.106,21.25,0.0,0.0,0.0,0.0,1.376,,,,,29.356,0.0,,
2015,,,,,0.0,0.0,0.0,0.0,0.0,15.830014865000003,27.178782671999997,16.834692282,,,0.0,43.008797537,
2016,20.106146686999992,19.093148325,14.751276090000001,9.562084835,0.0,0.0,0.0,0.0,2.315232406,18.977093478,22.981854959,27.163184608999998,66.36247962099999,24.313360925,0.0,44.274180842999996,269.900042778
2017,38.470942634,13.761036282000001,26.404375457000004,0.158999745,0.0,0.0,0.0,0.0,0.0,25.032991174000003,36.142646481,18.937872703,71.169851619,26.563375202000003,0.0,61.175637655,317.817728952
2018,34.094867181,64.342027658,37.705751571,12.077294334,0.0,0.0,0.0,0.0,0.0,15.316728343,22.713805491000002,13.359262698,111.796157537,49.783045905,0.0,38.030533834,399.21947455199995
2019,26.562345745,15.782971824999999,2.666619099,22.172148316,5.078846016,0.0,0.0,0.0,0.0,,,,,29.917613431,0.0,,
