Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Winter,Spring,Summer,Autumn,Annual
1993,,,,,,,,,,10.434127374000001,8.360044693999999,6.941443576999999,,,,,
1994,5.123664802000002,3.450690504,2.9062256969999996,7.777930728000001,10.388272625,17.752673964000003,14.829928492000002,7.849206703,10.385557541999999,10.49402011,8.387557542,7.233465923,15.807821229000002,21.072429050000004,40.431809159000004,29.267135193999998,213.158389264
1995,5.184482683000001,3.570395532,3.05392626,5.541933102,23.52886979,7.607463689,6.3349944129999995,5.180782123999999,6.383262569999999,3.6248782110000004,3.635577653,4.656911733000001,13.411789948000003,32.124729152,19.123240226,13.643718434,156.60695551999999
1996,2.0624983230000002,1.158918436,1.7448938559999998,8.487035196000003,12.063605028999998,19.778012851999996,10.684608937999997,7.227683801000001,7.730019552000002,5.143233521000001,4.008187712,3.162529601,6.38394636,22.295534081,37.690305591,16.881440785000002,166.50245363399998
1997,1.0758972039999997,0.6405184369999999,1.104858101,1.4770165579999999,24.531495176000004,27.626822345,21.364169831,14.090178773000002,12.397780894,8.68869601,5.076844693,6.500272625000001,8.216688266,27.113369835000004,63.08117094900001,26.163321597,249.14910129400005
1998,4.7027664829999996,3.3918033530000002,3.2050055879999997,2.931325142000001,13.892857541,7.391639658999999,4.601921226999999,3.744306705,4.585766480999999,4.769138552000001,2.9443575409999996,4.283798881,12.378368717,20.029188271000002,15.737867590999997,12.299262574,120.889374306
1999,3.1359821229999993,0.26450949599999996,0.09364022,2.5562815629999998,12.756534638000003,34.376631283,13.463406703999999,8.430556425,7.134450839,6.662172064999999,5.133036872,5.636835755000001,9.037327374,15.406456421000003,56.270594412,18.929659776,199.288075966
2000,3.2213564230000005,1.321783242,1.294109499,1.5104312840000003,14.438378213000002,32.471748603,37.18895530500001,23.714230725000004,28.148581006999997,18.060254751000002,8.925063687,7.385892738000001,11.929032403,17.242918996,93.37493463300002,55.133899445,355.36157095400006
2001,5.848049162999999,4.236013408000001,7.19907486,9.844753074999998,12.361223467,60.197681562999996,31.112999997999996,16.852957545,10.640901116000002,8.052772625,6.165170946000001,5.541083798,15.625146369,29.405051401999998,108.16363910599999,24.858844687,356.10536312799996
2002,4.857948603,3.5104625680000003,3.5809340789999995,2.8554365790000005,20.205316760000002,11.892594968,8.253261453,5.730802792,7.030558656000002,6.694441338,3.610719553,4.414625696999999,12.783036868,26.641687418000004,25.876659212999996,17.335719547,165.274206092
2003,5.1275262580000005,3.029309497,2.6629541899999998,6.446121790000001,9.789455868000001,7.6095050299999984,8.194872065,6.757451398000001,7.605150838,5.4249083810000025,4.630364247,6.736303909999999,14.893139665,18.898531848,22.561828493,17.660423466,148.027846944
2004,4.461908380000001,1.857358663,1.772889383,3.0447,28.163906147,12.292536872,10.464943573,8.821624022000002,7.45908436,6.580880444,4.461747486,4.647117317000001,10.966384360000003,32.98149553,31.579104467,18.50171229,188.057393294
2005,4.167492738,3.416822347,2.5901094980000003,3.6251886310000003,38.54640167700001,33.427055865,23.297847485999995,12.854835753,15.503596086999998,10.245740783,7.310212290999999,6.323108381,13.907423466000001,44.76169980600001,69.579739104,33.059549161,322.616823074
2006,5.046073742999999,3.9174838009999995,3.9011530739999993,2.9810798180000004,24.836706703,33.759804469,20.854779890000007,13.618050838000002,11.342715084000002,10.155564806000001,6.522536313,6.039251398,15.002808941999998,31.718939595000002,68.23263519700001,28.020816203000003,285.950399874
2007,5.028134077,2.4551798899999993,2.4703791119999994,3.609734078,25.70032961,47.189011173,31.167955305999996,27.366234637999998,22.218486031999998,19.125613409,7.311278210999999,8.169264802,15.652578769,31.7804428,105.72320111699999,48.655377652,403.623200676
2008,4.615883799000001,5.386706146000001,3.9883496719999996,5.351274302,26.879510615999997,24.167569273999998,19.676815640999997,16.046773747999996,10.523136873,,,,,36.219134589999996,59.891158662999985,,
2009,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,14.523526259000002,11.041340783,8.844134078,,,,,
2012,6.970324023,5.622033519000001,5.221005585999999,4.975039109,18.271910614,60.47296089299999,31.973832401000003,17.686055867000004,15.424893858000003,14.587843576,12.377765363,10.498927374,23.091284916000003,28.467955308999997,110.13284916100001,42.390502797,408.165184366
2013,8.168782124,5.608156425,6.8271197489999995,4.813340782,29.156178771999997,33.036737427999995,15.020849161999998,12.925407820999999,13.021541901,14.198681564,9.929765363,7.837944132,21.614882681,40.79663930299999,60.98299441099999,37.149988828,321.089010446
2014,5.8816759769999996,3.6008044679999998,2.2199329629999993,4.013698324,33.859910613000004,23.876245814000004,40.21582123,16.229363126000003,26.262817122,21.518276470000004,14.243530725000003,10.806401601,20.288882045999998,40.093541900000005,80.32143017000001,62.024624317000004,405.4569568660001
2015,8.207164591,6.571440857,6.534028664999999,5.7247578279999995,26.518028584999993,17.904959142000003,16.03175013,13.660938939000001,19.405932398999997,15.538127809,9.364575423,5.995302720999999,20.773908169,38.77681507799999,47.597648211000006,44.308635630999994,302.914014178
2016,3.683062836,2.5469633370000007,2.4031305609999998,5.1857818259999995,10.778839645999998,17.500347341999998,18.274106235,12.860781196000001,23.174189067999997,16.727434476,11.267357406,8.030251268999999,14.260277442,18.367752032999995,48.63523477300001,51.16898095,264.864490396
2017,5.590463081,3.693777857,3.110362802,2.915120467,16.480829259,21.895046562,22.517937567000004,17.039351469,11.234453212,9.657468915999997,8.4545314,6.578093092,15.86233403,22.506312528000002,61.452335598000005,29.346453527999998,258.334871368
2018,5.791014897,3.597341191,3.502253036,4.163837822,19.389343351999997,20.164964424999997,12.656618989000002,10.536022891,9.928552029999999,9.392611567000003,7.645438202,5.813381624000001,15.201737712,27.055434209999998,43.357606305000004,26.966601799000003,225.16276005199995
2019,4.930681484999999,4.083656846999999,3.517384121,5.459388358000001,11.738908081999995,13.999051520000002,16.815956905,15.664570029999998,13.181021735,,,,,20.715680560999996,46.479578455,,
