,mean,median,std,skew,range,5p,10p,25p,75p,90p,95p,min,min3d,min7d,min14d,min30d,min90d,low_count,low_dur,max,max3d,max7d,max14d,max30d,max90d,high_count,high_dur,rising,falling,change,change_3d,n_revs,n_rlimb,n_flimb,rlimb_slp,flimb_slp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan_p,feb_p,mar_p,apr_p,may_p,jun_p,jul_p,aug_p,sep_p,oct_p,nov_p,dec_p,cen_jd,25p_jd,50p_jd,75p_jd,max_jd,min_jd,max3d_jd,min3d_jd,max7d_jd,min7d_jd,max14d_jd,min14d_jd,si
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,120.58356164383564,34.0,156.86208794316758,0.2819621475473155,159.0,5.24,6.2,10.0,169.0,401.6,450.2000000000001,3.7,3.9333333333333336,4.142857142857143,4.5928571428571425,5.813333333333334,7.2111111111111095,4.0,108.0,597.0,569.6666666666666,568.2857142857143,528.6428571428571,468.1333333333333,366.6,2.0,79.0,11.120886075949368,10.551807228915663,10.829320987654322,35.9856,96.0,16.0,18.0,20.52986111111111,18.5244708994709,5.85483870967742,5.939285714285715,9.716129032258062,27.573333333333334,138.41935483870967,369.2,463.2903225806452,244.61290322580646,89.73333333333333,46.16129032258065,23.2,13.090322580645159,0.41237816099788693,0.37784291004930354,0.6843432622179808,1.8794447095176425,9.749392225024422,25.165292072796667,32.63126803444436,17.229000522572875,6.116374707472791,3.251312112330447,1.5813509644877648,0.9220003180878374,193.3472996614636,166.0,191.0,216.0,193.0,6.0,189.0,5.0,187.0,0.0,183.0,0.0,1.0478976168000165
1990,122.57095890410959,46.0,145.14509200092584,0.37529281333261805,210.0,4.5,5.6,9.0,219.0,352.0000000000002,397.4000000000001,3.8,3.933333333333333,4.1,4.2785714285714285,4.459999999999998,6.106666666666666,2.0,105.0,717.0,620.6666666666666,549.0,511.57142857142856,446.96666666666664,337.7111111111111,5.0,84.0,13.36577181208054,11.649707602339182,12.448749999999999,42.78425925925926,106.0,16.0,21.0,24.458680555555556,18.8588246409675,7.635483870967741,4.75,5.803225806451614,43.03333333333333,86.58064516129032,302.8333333333333,414.1290322580645,274.16129032258067,218.5,62.516129032258064,29.633333333333333,13.219354838709675,0.5290756933640899,0.2972837651771185,0.4021154086869446,2.8856642168696243,5.999320494251024,20.306939899504677,28.695706596570282,18.99710315970173,14.65184271230084,4.331849149723728,1.9871072724996872,0.9159916313502494,204.19136133612284,175.0,200.0,236.0,183.0,44.0,182.0,44.0,181.0,55.0,174.0,44.0,0.9974392137525651
1991,154.01643835616437,26.0,202.23403708866041,0.16881314928134342,305.4,7.0,7.44,9.6,315.0,492.0,553.8,6.4,6.433333333333334,6.5,6.6571428571428575,6.99,7.691111111111112,4.0,111.0,782.0,768.3333333333334,651.0,595.0714285714286,542.0,467.56666666666666,4.0,110.0,17.21095890410959,15.40245398773006,16.25695792880259,65.26210526315789,109.0,15.0,17.0,36.07010582010582,29.629362333168565,7.425806451612905,7.260714285714285,8.345161290322583,14.06,173.38709677419354,510.73333333333335,507.64516129032256,371.5806451612903,157.66666666666666,41.41935483870968,23.5,13.870967741935484,0.40949195958446,0.36164081400313075,0.4601892699587307,0.7503201935392059,9.561334851287889,27.255585598406146,27.993809591575353,20.490607656183293,8.413974669133342,2.2840472463355628,1.2540913618898535,0.7649067881030311,195.27503557705992,164.0,192.0,222.0,163.0,28.0,162.0,30.0,159.0,27.0,185.0,26.0,1.1342332217610742
1992,93.15260273972603,21.0,115.70134144008001,0.22543653513015907,155.6,6.12,7.199999999999999,9.4,165.0,284.6,313.8,5.8,5.833333333333333,5.8999999999999995,5.935714285714286,6.273333333333332,7.502222222222219,6.0,146.0,485.0,431.6666666666667,405.57142857142856,365.7857142857143,305.96666666666664,272.6777777777778,6.0,64.0,11.315714285714288,9.174566473988438,10.132268370607026,39.489423076923075,92.0,18.0,18.0,18.964417989417992,16.07671957671958,8.683870967741935,6.2107142857142845,7.670967741935486,18.990000000000002,151.16129032258064,261.0,279.51612903225805,250.06451612903226,74.83333333333333,29.129032258064516,12.416666666666666,9.567741935483873,0.7917484051798932,0.5114600581752727,0.6993973653483605,1.6755537385994994,13.782069192693088,23.028937639519185,25.48476943121759,22.799530597899455,6.60280523636278,2.65582767413612,1.0955656795301272,0.8723349813386196,192.75444329087344,164.0,193.0,222.0,175.0,38.0,175.0,47.0,175.0,44.0,170.0,37.0,1.0390689055515414
1993,120.69890410958905,19.0,160.03311198094553,0.15741650796389067,217.7,5.4,6.2,8.3,226.0,411.4000000000001,458.20000000000005,4.3,4.633333333333333,5.028571428571428,5.521428571428572,5.786666666666668,7.128888888888888,4.0,148.0,543.0,514.6666666666666,484.7142857142857,450.64285714285717,405.8,367.4888888888889,6.0,84.0,17.750354609929076,14.155932203389824,15.749685534591194,55.027777777777786,99.0,17.0,18.0,33.274579831932776,27.962037037037035,8.435483870967742,6.2678571428571415,6.600000000000001,10.923333333333336,246.7741935483871,398.53333333333336,281.83870967741933,326.64516129032256,95.6,35.61290322580645,14.233333333333333,7.025806451612903,0.5935748642041443,0.3983647750203721,0.46441842147674167,0.7438412351804898,17.364618398323913,27.138742166060226,19.831983130216475,22.98485305901019,6.510029485803005,2.5059527727777255,0.9692407916450081,0.49438090028169257,189.87049853478936,156.0,184.0,220.0,172.0,48.0,170.0,47.0,166.0,69.0,210.0,350.0,1.1235852562340765
1994,109.18739726027398,44.0,123.13155145801841,0.40297691037652994,206.9,3.6,3.9000000000000004,5.1,212.0,305.6,335.00000000000006,3.0,3.1999999999999997,3.3285714285714287,3.3428571428571425,3.5766666666666667,4.1,2.0,116.0,445.0,415.0,379.0,348.2857142857143,326.6333333333333,291.0888888888889,6.0,83.0,13.646376811594203,11.180952380952382,12.292810457516339,46.62474226804124,95.0,19.0,25.0,20.82330827067669,16.45394805194805,4.219354838709678,3.653571428571429,4.383870967741936,35.45333333333333,202.8709677419355,276.9,290.0,283.1290322580645,116.96666666666667,52.67741935483871,16.4,13.670967741935485,0.3282028634947081,0.25669077167820065,0.3409997641355569,2.668781082667978,15.78033492750932,20.84389286735887,22.55767387475096,22.02321508328022,8.804769480144731,4.097517401275675,1.2345245324112872,1.0633973512924868,195.34461551586566,159.0,195.0,226.0,173.0,30.0,172.0,30.0,172.0,36.0,211.0,29.0,0.9940595570436955
1995,169.49123287671233,26.0,256.1541328160723,0.15340026477305974,265.0,6.52,7.199999999999999,12.0,277.0,562.4000000000001,796.2000000000003,5.0,5.266666666666667,5.542857142857144,6.05,6.463333333333334,8.047777777777778,4.0,85.0,1250.0,1160.0,960.7142857142857,902.2857142857143,829.3,552.3888888888889,1.0,101.0,23.473202614379087,20.385227272727274,21.82127659574468,92.81320754716982,112.0,16.0,17.0,44.436458333333334,42.57271952259164,8.299999999999997,6.521428571428571,9.174193548387096,16.6,94.12903225806451,701.0333333333333,608.6129032258065,333.5483870967742,172.63333333333333,34.29032258064516,22.6,18.258064516129032,0.4159103069136802,0.29516215329357964,0.4597158619753234,0.8049876908006718,4.716775264571004,33.995373745439615,30.497395105092917,16.714001451564148,8.371548696097749,1.7182769383958112,1.0959470971141676,0.9149056887413256,194.88186239883098,169.0,188.0,219.0,165.0,42.0,164.0,41.0,163.0,40.0,164.0,36.0,1.1609909705376138
1996,146.552602739726,29.0,207.72473520626622,0.1978811666108948,220.0,9.32,10.0,12.0,232.0,510.6,628.2000000000003,7.0,7.366666666666667,8.057142857142859,8.67142857142857,9.673333333333336,10.385555555555555,7.0,75.0,781.0,761.3333333333334,752.4285714285714,690.5714285714286,641.9,459.74444444444447,4.0,85.0,16.916030534351144,13.648148148148149,15.109215017064846,67.72783505154639,91.0,9.0,14.0,38.203561253561254,25.19512471655329,10.870967741935486,9.717857142857143,10.66451612903226,25.8,179.0,573.7333333333333,522.0645161290323,246.5483870967742,108.96666666666667,28.64516129032258,17.833333333333332,16.06451612903226,0.630004281037993,0.5086770470932874,0.6180398080449865,1.4469534525917105,10.373571974717574,32.17695455556657,30.255161081064912,14.288197982116852,6.1112284709590465,1.6600706277796369,1.0001551642591282,0.9309855547683099,187.78566768302372,162.0,184.0,210.0,185.0,34.0,184.0,32.0,160.0,30.0,155.0,23.0,1.1214746540757694
1997,169.83013698630137,42.0,217.47439105098087,0.24730593018003486,293.0,9.92,11.0,14.0,307.0,453.20000000000005,606.6000000000004,8.6,8.7,8.77142857142857,9.114285714285714,10.023333333333333,11.526666666666666,9.0,52.0,1210.0,1156.6666666666667,939.1428571428571,818.1428571428571,664.4333333333333,485.1111111111111,3.0,119.0,23.7484375,17.58843930635838,20.207973421926912,85.30416666666666,90.0,13.0,18.0,42.18621794871795,29.843738977072316,14.116129032258065,11.2,11.13225806451613,19.123333333333335,185.70967741935485,664.4333333333333,411.16129032258067,372.2258064516129,233.63333333333333,64.93548387096774,27.333333333333332,16.161290322580644,0.7059430857585339,0.5059043685874686,0.5567206556107633,0.9255017100083888,9.287281409305027,32.156223785248756,20.562044266632252,18.61489320513648,11.307027166548364,3.247402723107698,1.3228366780667224,0.8082209459895464,195.18226753565207,161.0,190.0,226.0,159.0,64.0,159.0,63.0,157.0,61.0,156.0,55.0,1.0504049833772517
1998,167.22328767123287,44.0,221.54170288056054,0.26312124712262336,242.0,8.94,9.8,14.0,256.0,447.2000000000003,721.2000000000002,7.7,8.166666666666666,8.242857142857144,8.457142857142857,8.823333333333332,11.507777777777775,2.0,55.0,957.0,944.3333333333334,856.8571428571429,821.2142857142857,754.2666666666667,484.3888888888889,5.0,101.0,22.319696969696967,17.246783625730995,19.456765676567656,67.60941176470588,112.0,18.0,19.0,37.76759259259259,33.542741469057255,13.483870967741936,10.08214285714286,10.819354838709677,26.433333333333334,183.8709677419355,299.1333333333333,748.1290322580645,376.0967741935484,214.8,57.806451612903224,30.3,17.348387096774193,0.6848361226479239,0.46251013737681573,0.5495072620481187,1.2992225963153197,9.338674399744416,14.702677905843226,37.99693625945132,19.101685057301783,10.55761716350053,2.9359481621652623,1.4892728121697674,0.8811121214355346,199.92028376463267,177.0,198.0,226.0,193.0,65.0,191.0,67.0,190.0,64.0,183.0,59.0,1.033814058486673
1999,174.64794520547946,28.0,248.14456353824482,0.16032252751131434,290.0,10.0,11.0,12.0,302.0,510.0000000000001,695.2,7.4,7.666666666666667,8.0,8.385714285714288,10.416666666666664,11.766666666666667,11.0,62.0,1170.0,1123.3333333333333,1068.2857142857142,891.8571428571429,733.1,552.8333333333334,1.0,107.0,29.886607142857144,20.55766871165644,24.357090909090914,91.04318181818181,92.0,16.0,15.0,50.2610119047619,42.21304713804714,11.387096774193548,11.75,12.161290322580646,32.9,278.61290322580646,651.6,549.8709677419355,345.03225806451616,131.9,32.483870967741936,16.1,10.532258064516126,0.5537558924803715,0.5161067666460118,0.591405018314731,1.5483202999380357,13.548979159640137,30.665212992085838,26.740291623853857,16.7789604135129,6.207399621940028,1.5796945714666686,0.7576886574164856,0.5121849827049327,187.33622708697732,162.0,184.0,213.0,172.0,364.0,170.0,362.0,167.0,358.0,164.0,351.0,1.1443790037787727
2000,119.67534246575349,28.0,145.6582376198702,0.23396632441651488,250.0,5.7,6.4,8.0,258.0,357.6,392.0,5.0,5.0,5.085714285714286,5.35,5.963333333333334,7.516666666666672,3.0,146.0,492.0,453.6666666666667,399.85714285714283,383.5,371.1,348.75555555555553,6.0,96.0,12.83290322580645,11.575,12.17125382262996,45.80166666666666,102.0,17.0,18.0,21.581792717086834,20.421773288439955,6.003225806451612,7.710714285714286,8.854838709677418,27.87,212.58064516129033,325.6,362.3225806451613,310.6774193548387,114.43333333333334,31.322580645161292,11.63,6.290322580645162,0.4260384831106988,0.4942595835765711,0.628412485834964,1.9140826207891204,15.086478257385844,22.361869441296648,25.713402699083122,22.048235523047506,7.859162345615417,2.2229090118242265,0.7987363071323097,0.4464132413035265,191.17806394011188,158.0,191.0,221.0,143.0,8.0,142.0,8.0,193.0,6.0,189.0,3.0,1.0644898885911194
2001,106.9443835616438,24.0,133.3121003971178,0.22441571217404008,212.4,3.0,3.34,6.6,219.0,295.60000000000014,397.8,2.6,2.6,2.657142857142857,2.7428571428571424,2.906666666666666,4.185555555555556,5.0,143.0,483.0,471.0,456.42857142857144,438.07142857142856,385.9,300.1666666666667,11.0,77.0,12.091275167785236,11.18385093167702,11.619999999999997,51.25604395604397,104.0,19.0,23.0,16.285108604845448,17.582298136645967,4.4,2.8928571428571423,5.138709677419354,15.35,169.83870967741936,250.53333333333333,351.2258064516129,287.8709677419355,119.63333333333334,39.645161290322584,16.783333333333335,9.129032258064516,0.3494326842527291,0.20750767906503703,0.4080984354945728,1.1797195828327107,13.487999139227409,19.25466315867677,27.893130983458313,22.86171022193075,9.194383458819976,3.148480710752229,1.2898779803610638,0.7249959651284628,197.27306217288728,167.0,194.0,225.0,187.0,41.0,186.0,41.0,185.0,40.0,178.0,39.0,1.0582354702249213
2002,120.53369863013697,20.0,164.66711904986724,0.16592870066462403,194.8,3.6,3.8,6.2,201.0,435.20000000000005,469.6,3.4,3.5,3.5142857142857147,3.6285714285714286,3.659999999999999,4.368888888888888,2.0,124.0,601.0,587.3333333333334,513.8571428571429,491.35714285714283,471.26666666666665,368.3222222222222,5.0,76.0,15.06391608391608,12.10511235955056,13.423208722741428,57.55594594594596,111.0,17.0,14.0,24.639915966386553,25.084065934065933,4.94193548387097,3.6642857142857137,4.432258064516129,13.833333333333334,126.16129032258064,397.6,444.51612903225805,224.16129032258064,160.36666666666667,34.20322580645161,15.609999999999998,8.999999999999996,0.34822297180575906,0.23320937929027977,0.31230963659341565,0.94329329829889,8.88968696300472,27.112295089419664,31.32188349532218,15.795048505732497,10.935383272568577,2.410057552256176,1.0644439797430607,0.6341658559647957,195.7965509560221,168.0,191.0,220.0,151.0,23.0,150.0,33.0,177.0,32.0,176.0,31.0,1.1352230792904434
2003,150.29772602739732,34.0,197.10710203708837,0.22621766076355834,283.2,7.006,8.076,11.8,295.0,472.6,500.8,5.63,5.743333333333333,6.288571428571428,6.4871428571428575,6.924333333333334,9.499666666666666,8.0,83.0,925.0,763.0,699.7142857142857,577.5,500.93333333333334,443.7888888888889,3.0,104.0,16.401547619047616,17.30811320754717,16.842354740061165,75.06976190476192,105.0,12.0,16.0,31.62691648629149,28.16358173076923,6.984838709677421,9.262857142857143,12.228387096774195,29.713333333333342,215.52903225806452,415.93333333333334,478.7741935483871,344.16129032258067,205.41666666666663,47.25806451612903,15.833333333333334,10.948387096774194,0.39470515781735127,0.4727785052025504,0.6910120132332773,1.6249026817456564,12.179296362817395,22.745720958966004,27.054975995590112,19.44815650835136,11.23341123654656,2.6704985738808458,0.8658613123504448,0.6186806934984022,195.36840667117875,162.0,194.0,226.0,251.0,0.0,149.0,0.0,146.0,0.0,143.0,0.0,1.115198966901476
2004,127.5745205479452,44.0,170.22176746209885,0.3448964558989965,178.0,5.2,6.34,13.0,191.0,380.20000000000005,479.4000000000001,4.8,4.866666666666666,4.971428571428571,5.035714285714286,5.163333333333332,7.596666666666669,1.0,81.0,1160.0,876.0,723.8571428571429,595.7142857142857,537.1,384.3666666666667,3.0,78.0,23.288524590163934,15.260752688172044,18.440584415584414,62.028571428571425,92.0,17.0,20.0,41.65527544351074,25.53972222222222,7.883870967741935,5.260714285714285,9.419354838709678,34.53333333333333,121.6774193548387,368.3666666666667,472.741935483871,291.03225806451616,116.2,52.83870967741935,25.4,14.806451612903226,0.5248611072335911,0.31633404703562995,0.6270844652709027,2.224861321988545,8.10055685959536,23.732569951057346,31.472338488168077,19.375191937240015,7.486357691556051,3.517686144225132,1.6364327484124241,0.9857252382169326,196.77939512119698,172.0,194.0,223.0,180.0,46.0,179.0,46.0,177.0,42.0,176.0,43.0,1.0300357867066756
