,mean,median,std,skew,range,5p,10p,25p,75p,90p,95p,min,min3d,min7d,min14d,min30d,min90d,low_count,low_dur,max,max3d,max7d,max14d,max30d,max90d,high_count,high_dur,rising,falling,change,change_3d,n_revs,n_rlimb,n_flimb,rlimb_slp,flimb_slp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan_p,feb_p,mar_p,apr_p,may_p,jun_p,jul_p,aug_p,sep_p,oct_p,nov_p,dec_p,cen_jd,25p_jd,50p_jd,75p_jd,max_jd,min_jd,max3d_jd,min3d_jd,max7d_jd,min7d_jd,max14d_jd,min14d_jd,si
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,960.3698630136986,215.0,1543.41688636582,0.22387208124723637,768.0,70.0,78.19999999999999,132.0,900.0,3746.0000000000005,4642.0,60.0,60.0,61.857142857142854,63.57142857142857,67.13333333333334,87.2,5.0,91.0,7310.0,6686.666666666667,5965.714285714285,5107.142857142857,4529.0,3247.511111111111,2.0,96.0,150.7537313432836,112.59776536312849,128.93290734824282,450.5169491525424,93.0,13.0,16.0,321.2637362637363,280.2063492063492,71.83870967741936,78.82142857142857,110.12903225806451,979.5666666666667,3976.1290322580644,4021.0,1096.516129032258,350.6774193548387,197.16666666666666,251.67741935483872,198.0,157.74193548387098,0.6353145905544382,0.6296090262028043,0.973939834823912,8.383470980073318,35.163393099119915,34.413111386880054,9.697177172037028,3.101259503330623,1.687420656995735,2.2257406535723967,1.6945526124352774,1.3950104839744961,160.96732708574038,132.0,154.0,172.0,129.0,32.0,128.0,32.0,127.0,30.0,155.0,23.0,1.1745650630709017
1990,943.8054794520548,244.0,1366.6440018948542,0.25852784849443666,960.0,100.0,110.0,140.0,1100.0,3252.0000000000005,4318.000000000001,80.0,83.33333333333333,86.42857142857143,93.92857142857143,103.83333333333333,120.61111111111111,6.0,86.0,6870.0,6093.333333333333,5480.0,4950.0,4534.0,2982.6666666666665,3.0,110.0,155.31578947368422,110.57219251336899,129.16875,427.2773109243698,98.0,16.0,17.0,307.5295138888889,196.20743863979158,118.06451612903226,103.75,138.38709677419354,1684.2666666666667,2381.6129032258063,4383.0,1229.258064516129,448.3225806451613,259.03333333333336,241.29032258064515,213.83333333333334,132.74193548387098,1.0624432129908357,0.8432780146826169,1.2453227824400779,14.667522039890969,21.431743829265955,38.169578709334694,11.06189167143218,4.034381359056457,2.255804974904859,2.1713320309211617,1.8621784730426805,1.1945229020375105,162.30418678100025,133.0,159.0,178.0,161.0,44.0,160.0,354.0,156.0,44.0,149.0,42.0,1.0718754246164264
1991,901.8219178082192,169.0,1764.9624167869144,0.18739841720717573,362.0,100.0,110.0,120.0,482.0,2928.0000000000027,6216.000000000001,85.0,90.0,93.57142857142857,95.0,99.5,110.5,8.0,128.0,8650.0,7806.666666666667,7570.0,6527.142857142857,6246.666666666667,3097.311111111111,2.0,74.0,153.2280701754386,93.41176470588235,116.06644518272425,415.02521008403363,75.0,11.0,14.0,298.21060606060604,214.17389455782313,100.16129032258064,116.78571428571429,115.16129032258064,374.3,3722.516129032258,4507.0,926.0645161290323,295.16129032258067,228.46666666666667,151.0,143.33333333333334,119.03225806451613,0.9432959154223566,0.9934227515076025,1.0845624534807772,3.411359044855923,35.05779776100132,41.07666367930977,8.72146188081965,2.7797609101818237,2.082238391080461,1.4220831497881001,1.3063357282821686,1.1210183342700468,161.15519268451993,141.0,155.0,170.0,144.0,28.0,142.0,27.0,138.0,23.0,151.0,16.0,1.2424342290756836
1992,918.2958904109589,248.0,1304.1171558891785,0.270065457756774,1030.0,95.0,100.0,150.0,1180.0,2982.000000000002,3960.0000000000005,80.0,80.0,83.57142857142857,90.0,94.66666666666667,136.6,7.0,78.0,6560.0,6243.333333333333,5312.857142857143,4525.714285714285,4198.666666666667,2885.3333333333335,2.0,109.0,140.50757575757575,95.65463917525773,113.8159509202454,412.3412698412698,92.0,14.0,17.0,254.6724644403216,189.05322128851543,104.19354838709677,98.21428571428571,203.67741935483872,1357.1333333333334,4085.483870967742,2704.6666666666665,1250.774193548387,338.7096774193548,280.53333333333336,236.1290322580645,171.0,136.7741935483871,0.9636670664542423,0.8204595767025282,1.8837751881090048,12.146978620315176,37.785892868863705,24.208032746779324,11.568181682568666,3.132663838318744,2.510904653646719,2.183914218713639,1.5305300467214435,1.2649994928068071,157.536189726056,126.0,147.0,176.0,127.0,35.0,126.0,35.0,123.0,32.0,117.0,29.0,1.0741810709942132
1993,1015.2356164383561,220.0,1737.90971102154,0.21669846529991013,762.0,95.0,110.0,130.0,892.0,3376.0000000000036,5376.000000000002,70.0,76.66666666666667,88.57142857142857,91.07142857142857,99.16666666666667,135.44444444444446,10.0,103.0,9580.0,8493.333333333334,7728.571428571428,6927.142857142857,5871.666666666667,3426.1111111111113,1.0,104.0,159.421875,115.48587570621469,133.92459016393443,476.5826086956522,75.0,12.0,14.0,324.59166666666664,310.38095238095235,134.19354838709677,116.07142857142857,154.19354838709677,336.03333333333336,4946.419354838709,3540.0,1625.483870967742,594.7741935483871,234.63333333333333,191.5483870967742,127.7,100.48387096774194,1.1226221863606802,0.8770485830942815,1.28993606990482,2.7204697742072157,41.380231594798154,28.659249084496206,13.598300954498718,4.975699007720726,1.8995523004309682,1.6024352265888746,1.0338378836412898,0.8406173342580574,161.95431521395938,138.0,152.0,179.0,140.0,328.0,139.0,327.0,135.0,344.0,134.0,344.0,1.1710827341277101
1994,693.0602739726028,136.0,1264.19731929809,0.1962311289614851,273.0,90.0,95.0,110.0,383.0,2488.000000000001,3634.000000000001,80.0,83.33333333333333,86.42857142857143,87.85714285714286,90.0,99.84444444444445,5.0,175.0,7490.0,6696.666666666667,6138.571428571428,5085.714285714285,4286.0,2377.011111111111,2.0,77.0,129.54166666666666,88.82857142857142,105.38983050847457,454.3,83.0,10.0,10.0,279.13888888888886,301.6917354214413,95.96774193548387,95.71428571428571,107.45161290322581,1032.5666666666666,3906.7741935483873,1878.8333333333333,442.6774193548387,196.19354838709677,124.7,166.6451612903226,112.56666666666666,110.96774193548387,1.1760427249404073,1.0594267236437953,1.3167725434542845,12.245470753102182,47.875809888246295,22.281562417232287,5.424818256926793,2.4042661691050613,1.4788490198326265,2.0421636023671073,1.3349567334869765,1.3598611676621852,150.71331833796503,128.0,141.0,162.0,132.0,30.0,130.0,29.0,127.0,25.0,126.0,19.0,1.2145011713315226
1995,1007.0712328767123,220.0,1730.3459042487816,0.2184552520396865,431.0,80.0,90.0,150.0,581.0,3472.000000000002,4526.0,60.0,61.666666666666664,66.42857142857143,74.64285714285714,76.5,101.27777777777777,3.0,78.0,11200.0,8900.0,7592.857142857143,6582.142857142857,5549.0,3424.088888888889,1.0,88.0,169.21830985915494,139.32558139534885,152.843949044586,604.4711538461538,98.0,12.0,13.0,410.49621212121207,310.59157509157507,99.51612903225806,80.71428571428571,121.61290322580645,391.3666666666667,2639.032258064516,5453.666666666667,2049.7096774193546,424.7741935483871,230.16666666666666,213.32258064516128,183.3,179.96774193548387,0.8392708001773759,0.6148304727393419,1.02562428417138,3.1941259205454036,22.25631901540069,44.509917541983945,17.28625799483651,3.5823396747927663,1.8784975284359093,1.7990592549669324,1.4959968007051507,1.5177607112445965,169.56256172109005,148.0,163.0,183.0,156.0,41.0,154.0,41.0,151.0,40.0,153.0,36.0,1.194769208076522
1996,1387.9315068493152,198.0,2799.7219789993915,0.1426583365410239,632.0,120.0,130.0,150.0,782.0,5030.000000000001,7168.000000000002,100.0,103.33333333333333,108.57142857142857,114.28571428571429,117.0,130.22222222222223,8.0,55.0,15600.0,15033.333333333334,13685.714285714286,12321.42857142857,9204.0,4880.0888888888885,4.0,103.0,241.27586206896552,148.03174603174602,183.4950819672131,792.8545454545455,84.0,11.0,15.0,466.22229437229436,352.8115506715506,142.90322580645162,117.14285714285714,130.32258064516128,618.5666666666667,3530.3548387096776,9044.0,1931.2903225806451,402.03225806451616,226.3,177.4516129032258,198.13333333333333,160.0,0.8744657961487974,0.6474600025661524,0.7974812226729439,3.6630839230549057,21.60325309172021,53.55757557812454,11.81811901025474,2.4601506134091333,1.3401237675065882,1.0858772786940258,1.1733238583089056,0.9790858575390597,164.4993337873449,148.0,161.0,175.0,160.0,32.0,159.0,56.0,158.0,53.0,154.0,52.0,1.2853604518050836
1997,1546.0465753424658,342.0,2854.0210769053156,0.22120937716526642,940.0,130.0,130.0,150.0,1090.0,5506.00000000001,8568.0,110.0,113.33333333333333,118.57142857142857,126.42857142857143,130.66666666666666,155.8111111111111,10.0,48.0,15000.0,14166.666666666666,12957.142857142857,11810.714285714286,9588.0,5330.066666666667,3.0,112.0,216.02962962962962,168.7514450867052,189.47402597402598,715.7912087912088,104.0,11.0,14.0,597.5465564738292,414.3197278911565,140.6451612903226,131.07142857142858,193.32258064516128,581.8666666666667,5553.419354838709,8302.333333333334,1909.6451612903227,602.9677419354839,392.8,363.5483870967742,203.4,146.93548387096774,0.7726290831054727,0.6503552144488727,1.0620105722594262,3.0933516685066818,30.507507438327007,44.13732241492663,10.490566305220385,3.312381381056765,2.0882250264483693,1.9971398547244674,1.081326299337063,0.8071847416388598,163.3575217036117,142.0,157.0,173.0,155.0,36.0,155.0,35.0,154.0,34.0,150.0,31.0,1.2232224900605948
1998,943.0630136986301,195.0,1409.8820737149263,0.20677303336838865,763.0,116.0,120.0,139.0,902.0,3764.000000000002,4222.000000000001,100.0,103.33333333333333,111.42857142857143,117.14285714285714,117.66666666666667,129.16666666666666,6.0,88.0,5530.0,4883.333333333333,4415.714285714285,4315.714285714285,3908.3333333333335,3181.0444444444443,2.0,98.0,149.38805970149255,124.27329192546584,135.6813559322034,394.6380952380952,101.0,14.0,17.0,334.5161100803958,301.71092436974794,125.80645161290323,118.57142857142857,142.09677419354838,550.5333333333333,3561.6129032258063,3700.6666666666665,2001.5806451612902,382.5806451612903,216.8,177.74193548387098,149.4,136.83870967741936,1.133002922566513,0.9645050520309805,1.279712275360382,4.798122120284239,32.07560325142788,32.25281652906008,18.026076498033223,3.4454909388817554,1.8895002585570773,1.6007297700875607,1.3020818202418234,1.2323585634684995,163.80224741297667,135.0,162.0,182.0,169.0,354.0,169.0,353.0,169.0,352.0,169.0,21.0,1.1706561237036939
1999,1215.2301369863014,210.0,2183.7581108636996,0.17280677429609137,600.0,90.0,120.0,150.0,750.0,4500.0,6444.000000000005,80.0,80.0,81.42857142857143,87.5,89.0,128.93333333333334,4.0,44.0,9800.0,9666.666666666666,9185.714285714286,7995.714285714285,6899.333333333333,4216.9111111111115,2.0,93.0,187.6341463414634,133.01149425287358,155.63299663299662,667.2982456140351,82.0,12.0,12.0,276.31382275132273,364.56424191750284,145.80645161290323,170.35714285714286,203.70967741935485,531.7333333333333,3745.483870967742,6446.666666666667,2138.3870967741937,430.64516129032256,362.73333333333335,163.7741935483871,137.1,89.6774193548387,1.0190301628419218,1.0753924506097272,1.4237113890147648,3.5963648578881275,26.176900930879544,43.60186581717427,14.945024224511283,3.009746166800809,2.453337661957034,1.1446053399885923,0.9272723583559347,0.6267486399779962,165.0185837735228,146.0,165.0,179.0,148.0,347.0,169.0,359.0,168.0,357.0,165.0,351.0,1.2264054569565541
2000,918.9041095890411,173.0,1623.579569408993,0.18826774001192606,591.0,90.0,95.0,115.0,706.0,3202.0000000000073,5194.000000000004,80.0,81.66666666666667,87.14285714285714,88.21428571428571,89.5,110.66666666666667,6.0,127.0,8210.0,7706.666666666667,7337.142857142857,6577.142857142857,5373.0,3180.2444444444445,1.0,91.0,164.9512195121951,115.2215909090909,135.6789297658863,428.35483870967744,76.0,12.0,13.0,362.9623015873016,318.66709026267847,89.51612903225806,98.39285714285714,142.90322580645162,1044.1333333333334,4240.967741935484,3774.6666666666665,774.7096774193549,239.06451612903226,161.26666666666668,198.0,125.1,104.83870967741936,0.8273703041144902,0.8214072748956469,1.3208109719737626,9.339296362552178,39.197972570065595,33.76267143709004,7.160405485986882,2.209600477042337,1.4424567680381635,1.8300536672629695,1.1189624329159213,0.9689922480620154,155.38242993440667,134.0,150.0,167.0,148.0,28.0,147.0,27.0,144.0,24.0,142.0,0.0,1.216922260069768
2001,593.9668493150684,147.0,1057.3933025597862,0.2474885596216569,264.0,85.0,89.9,105.0,369.0,1782.0000000000005,2766.0,65.1,70.1,79.27142857142859,83.21428571428571,84.5,114.31111111111112,8.0,138.0,6850.0,6313.333333333333,5281.428571428572,4395.0,3552.3333333333335,1976.888888888889,2.0,71.0,100.53984375,67.07864583333333,80.46312499999996,299.67355371900834,97.0,12.0,13.0,217.2888888888889,183.14189144189143,87.90322580645162,93.21428571428571,159.7741935483871,489.76666666666665,3338.3870967741937,1714.9666666666667,516.1935483870968,184.09677419354838,134.7,132.8709677419355,140.64,89.99032258064517,1.2569309942577858,1.2038862000047048,2.2846162255261695,6.777279669221889,47.735702236968166,23.731318430667457,7.381067805546087,2.6324055721941955,1.8639479441452154,1.899926152421218,1.9461443122834674,1.2867744567636497,155.4158305961451,132.0,145.0,168.0,134.0,357.0,133.0,356.0,132.0,353.0,132.0,15.0,1.16097605884028
2002,852.7041095890411,168.0,1678.5576840209726,0.19702027715213807,469.0,85.0,85.1,100.0,569.0,3090.0000000000023,4406.0,70.1,75.03333333333333,80.78571428571429,82.52857142857144,86.52999999999999,91.74666666666667,5.0,136.0,10700.0,10180.0,8242.857142857143,6704.285714285715,5311.333333333333,2939.9666666666667,4.0,80.0,179.11953125,125.12240437158471,147.3463022508039,675.581512605042,99.0,11.0,14.0,383.3181818181819,270.1898107068914,86.64516129032256,91.27857142857142,97.27096774193548,439.4,3324.8709677419356,4480.333333333333,847.5806451612904,264.19354838709677,196.36666666666667,158.63548387096773,126.76666666666667,104.51935483870967,0.8630079328614527,0.8211748603154508,0.968843678611476,4.235357621362499,33.11656390467714,43.18573948470137,8.442119670861754,2.631435208538831,1.8927698184984434,1.5800499297962647,1.221898424673159,1.0410394651021568,161.3176016990268,141.0,154.0,172.0,151.0,14.0,150.0,13.0,148.0,9.0,147.0,3.0,1.231927517157455
2003,816.3728767123281,141.0,1694.1690881158647,0.17271519427229245,612.0,85.0,90.0,100.0,712.0,2132.0000000000005,3966.0,70.0,73.39999999999999,76.45714285714284,80.77142857142857,92.03666666666666,100.00666666666669,7.0,171.0,11600.0,10866.666666666666,9800.0,7642.857142857143,5611.333333333333,2785.277777777778,2.0,92.0,132.4431818181818,90.16752577319589,107.28527607361967,488.7559999999997,83.0,7.0,10.0,303.2705627705628,208.32857142857142,106.45161290322581,98.24642857142854,95.15161290322581,696.5333333333333,3593.967741935484,3552.3333333333335,841.258064516129,281.64516129032256,153.73333333333332,142.3548387096774,105.83666666666666,99.56129032258062,1.1074713710260664,0.9231948468350318,0.9899116070047238,7.012642960291117,37.3899114727658,35.764613336438764,8.752044207572359,2.9301007698268444,1.5477751403552178,1.4809912607084943,1.0655552576196556,1.0357877695560154,159.02013651430445,144.0,151.0,169.0,148.0,54.0,147.0,54.0,145.0,54.0,142.0,53.0,1.1934786127671204
2004,768.8158904109589,319.0,1010.9671635221878,0.4149237860178506,719.0,80.0,85.0,160.0,879.0,2206.0,2926.0,65.0,66.73333333333333,75.74285714285715,78.95714285714287,82.19666666666664,110.47555555555559,3.0,80.0,5130.0,4773.333333333333,4614.285714285715,3832.1428571428573,3021.3333333333335,2220.4,4.0,107.0,116.35281690140845,87.04814814814814,99.61993957703926,331.93941605839416,92.0,19.0,20.0,176.32493734335839,146.53912878787878,83.10322580645159,84.13571428571429,161.63870967741934,897.9,2417.0967741935483,2982.0,1068.6129032258063,352.61290322580646,410.8333333333333,346.7741935483871,237.83333333333334,163.8709677419355,0.9180458260309929,0.8395048354024586,1.785631560079225,9.599177243923943,26.701798674210973,31.879659807752752,11.805024485260736,3.895333795646606,4.392094870674633,3.8308332543409582,2.5426042111369984,1.8102914355397273,168.3383060518613,130.0,158.0,185.0,160.0,42.0,156.0,3.0,155.0,39.0,153.0,2.0,0.9532554730976861
