,mean,median,std,skew,range,5p,10p,25p,75p,90p,95p,min,min3d,min7d,min14d,min30d,min90d,low_count,low_dur,max,max3d,max7d,max14d,max30d,max90d,high_count,high_dur,rising,falling,change,change_3d,n_revs,n_rlimb,n_flimb,rlimb_slp,flimb_slp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan_p,feb_p,mar_p,apr_p,may_p,jun_p,jul_p,aug_p,sep_p,oct_p,nov_p,dec_p,cen_jd,25p_jd,50p_jd,75p_jd,max_jd,min_jd,max3d_jd,min3d_jd,max7d_jd,min7d_jd,max14d_jd,min14d_jd,si
1979,37.47780821917809,10.0,72.2882705248235,0.26682456832902024,28.5,4.22,4.5,5.5,34.0,89.60000000000002,178.20000000000005,3.3,3.2999999999999994,3.4999999999999996,3.8642857142857134,4.166666666666666,4.683333333333334,6.0,74.0,556.0,437.0,363.57142857142856,318.14285714285717,235.83333333333334,119.53333333333333,5.0,118.0,11.152032520325198,8.284337349397582,9.504844290657434,26.838043478260875,84.0,14.0,15.0,23.510714285714283,17.488080808080806,6.709677419354839,9.321428571428571,16.26451612903226,58.6,172.83870967741936,118.5,26.193548387096776,17.883870967741935,7.906666666666666,4.5129032258064505,4.5233333333333325,5.032258064516129,1.5205345263681154,1.9079784201061447,3.6858341740134795,12.851440852668974,39.168384578270974,25.98798192903197,5.93593286255245,4.052809333742707,1.7339941810313313,1.0227056742254774,0.9920025732122753,1.1404008947760864,149.88219512551717,129.0,146.0,161.0,139.0,297.0,145.0,297.0,139.0,297.0,139.0,297.0,1.091319434221763
1980,12.963013698630139,4.5,18.33255287806939,0.3471414984677163,5.4,3.42,3.7,4.1,9.5,42.0,61.60000000000002,2.5,2.6333333333333333,2.942857142857143,3.692857142857143,3.913333333333334,4.075555555555556,8.0,245.0,90.0,87.0,75.85714285714286,71.57142857142857,63.36666666666667,36.42111111111111,3.0,64.0,2.8999999999999986,1.9429447852760742,2.3264705882352987,9.298701298701294,79.0,12.0,15.0,6.100555555555556,3.194921652421652,4.52258064516129,4.478571428571429,4.612903225806452,20.223333333333336,62.064516129032256,25.09,4.674193548387098,7.451612903225805,9.600000000000001,4.187096774193548,4.136666666666666,3.925806451612904,2.963119518123216,2.650322307936172,3.0222973686991437,12.822572123005388,40.66363732431575,15.908274331607311,3.0624537673042376,4.882172672514001,6.086864630666808,2.7433160731269144,2.622846877311634,2.5721230053894115,156.37440557962586,123.0,142.0,167.0,142.0,245.0,142.0,244.0,139.0,241.0,134.0,198.0,0.9882527334289702
1981,11.9161095890411,4.8,26.060632467204815,0.4028160335496092,5.3999999999999995,1.8,2.6,3.3,8.7,24.600000000000023,44.0,0.9,0.96,0.9742857142857143,1.0271428571428571,1.8993333333333335,3.467777777777778,10.0,206.0,341.0,205.0,122.42857142857143,108.64285714285714,67.86666666666666,33.41333333333334,7.0,47.0,6.888070175438599,4.282732240437158,5.28276094276094,12.336781609195404,90.0,15.0,17.0,15.917222222222222,10.60840336134454,3.703225806451613,2.8178571428571417,3.8193548387096774,6.503333333333334,4.996774193548388,5.262666666666666,8.20967741935484,60.92903225806452,24.2,11.170967741935486,5.696666666666666,4.6096774193548375,2.639456658190362,1.8140516579374517,2.722227076043021,4.485696811959404,3.5614271459380413,3.6299426584938526,5.851408706528285,43.42687923336197,16.692034266952984,7.962054361771101,3.929295669727637,3.2855257530958415,218.34874855726554,214.0,229.0,251.0,223.0,177.0,222.0,170.0,222.0,171.0,222.0,164.0,0.9949099216597508
1982,13.114794520547946,9.0,11.919087961521663,0.6862478848524096,10.6,2.44,3.2399999999999998,6.4,17.0,29.0,36.0,1.2,1.2999999999999998,1.5571428571428572,1.864285714285714,2.333333333333333,6.049999999999997,3.0,80.0,86.0,77.0,61.42857142857143,43.07142857142857,31.5,21.20111111111111,9.0,69.0,2.7487804878048787,1.827173913043478,2.1964169381107497,8.086111111111112,94.0,19.0,21.0,4.063521303258145,2.3265891912320478,3.719354838709678,4.807142857142858,9.503225806451614,14.876666666666667,31.225806451612904,11.396666666666668,4.467741935483871,20.593548387096778,29.866666666666667,10.780645161290325,8.410000000000002,7.316129032258064,2.4086569596189604,2.8118406484363576,6.154296099772295,9.32336167457018,20.22185548058242,7.142409492573481,2.893313000062671,13.336397250830393,18.71775052748125,6.98155382397794,5.270634439825357,4.7379306022686904,193.30199085002818,125.0,210.0,263.0,263.0,204.0,262.0,203.0,261.0,200.0,259.0,195.0,0.6410235468546143
1983,23.59936986301371,10.0,28.529669284202043,0.42374012772572267,21.6,3.92,4.3,5.4,27.0,75.0,92.40000000000003,3.2,3.4,3.857142857142857,3.9285714285714293,4.07,4.511888888888889,6.0,88.0,120.0,116.33333333333333,108.14285714285714,95.14285714285714,87.5,67.03333333333333,4.0,110.0,3.036793893129772,2.1128723404255316,2.4922884012539215,9.886974789915966,90.0,18.0,16.0,4.493253968253968,2.854397210976158,7.341935483870968,10.789285714285715,25.64516129032258,64.26666666666667,79.61290322580645,50.93333333333333,12.651612903225805,10.806451612903226,6.95,4.4870967741935495,4.470666666666668,5.0370967741935475,2.642280906037657,3.507175139340845,9.229408261423275,22.38276619877242,28.65179822539955,17.739038771641212,4.553174742302149,3.889121720222386,2.420542921392142,1.6148562127848776,1.5570418063170943,1.812795094366345,140.10273434280228,108.0,132.0,159.0,115.0,280.0,115.0,278.0,114.0,275.0,109.0,267.0,0.9130644639537886
1984,12.861205479452053,7.87,14.160692467162718,0.6119177562767077,7.619999999999999,4.222,4.568,5.48,13.1,26.360000000000003,43.06000000000004,2.36,2.393333333333333,2.632857142857143,3.521428571428572,4.142666666666667,5.8292222222222225,11.0,79.0,127.0,101.10000000000001,74.55714285714285,60.23571428571428,43.22333333333333,26.53088888888888,7.0,59.0,2.9688235294117646,2.1572222222222233,2.5109971509971514,7.006959999999998,127.0,28.0,25.0,4.184681547619047,2.204096652236652,5.616129032258065,5.266071428571429,6.550967741935484,20.347,42.29999999999999,15.459333333333332,7.298387096774194,8.805161290322582,4.175999999999999,11.660322580645161,11.01366666666667,15.091935483870968,3.7087215668230256,3.1410166285356413,4.32606074549351,13.003105867917538,27.933639233630288,9.879557083636891,4.819633856942617,5.814661912004671,2.668745766177993,7.700123979089712,7.038476122308997,9.966257237439132,182.59747483139273,122.0,146.0,270.0,135.0,256.0,135.0,254.0,134.0,250.0,131.0,244.0,0.6797485821018743
1985,36.8857534246575,16.0,44.22110532244989,0.4337718092889563,35.0,5.4,6.039999999999999,8.1,43.1,105.20000000000005,126.60000000000002,4.3,4.666666666666667,5.0,5.185714285714285,5.866666666666668,12.705666666666675,2.0,11.0,210.0,205.66666666666666,196.85714285714286,181.85714285714286,137.48,102.87888888888887,10.0,159.0,7.643069306930694,3.6848837209302343,4.949999999999996,14.477375886524824,75.0,19.0,22.0,9.809166666666668,5.154175999653941,9.53225806451613,14.446785714285712,43.47709677419354,106.32666666666665,127.6967741935484,53.143333333333324,22.46451612903226,15.283870967741937,11.363,23.135483870967743,8.747000000000003,5.874193548387098,2.194855644604222,3.0045382632786928,10.01084429523223,23.692556802566997,29.40289527827505,11.841821841599023,5.172580273781321,3.5191966308408817,2.5319943847347997,5.327074342843142,1.9490763780053946,1.3525658642383385,143.42995625143925,102.0,127.0,162.0,124.0,281.0,123.0,280.0,121.0,358.0,118.0,351.0,0.9109413932894606
1986,16.95893150684932,13.0,15.039511129777663,0.766557727693493,12.98,4.6,5.0,8.02,21.0,29.660000000000014,44.020000000000046,3.5,3.766666666666667,3.942857142857143,4.214285714285714,4.521333333333333,6.473444444444444,2.0,42.0,135.0,104.83333333333333,77.41428571428571,57.6,49.19333333333334,31.085555555555565,12.0,100.0,3.2324444444444445,2.2024615384615385,2.6238181818181805,9.33236641221374,106.0,19.0,22.0,4.678005847953216,2.4433243145743146,4.750967741935483,6.804642857142857,7.896774193548388,16.486666666666665,18.593548387096774,49.10666666666667,23.38064516129032,11.23,9.545666666666664,13.738709677419354,25.1,16.93548387096774,2.379317642459381,3.078024106584641,3.9547593622627413,7.990294038297188,9.311778171602304,23.79963844969555,11.709189484346547,5.624061996668824,4.626325320960706,6.880441227073944,12.164762254018973,8.481407946029163,200.54058878741705,146.0,180.0,292.0,177.0,41.0,176.0,39.0,176.0,37.0,151.0,29.0,0.5593521934912667
1987,35.60438356164382,13.0,46.143678917832744,0.3651235802887132,33.8,5.6,6.039999999999999,7.2,41.0,108.0,154.20000000000005,4.9,4.966666666666667,5.1,5.25,5.580000000000001,6.517777777777775,1.0,5.0,226.0,217.66666666666666,184.0,177.0,152.0,101.96666666666667,8.0,143.0,5.284615384615385,3.2000000000000006,3.9817307692307633,16.28487394957983,90.0,17.0,11.0,6.897338935574228,6.809291443850268,10.161290322580646,20.5,64.70967741935483,116.83333333333333,117.83870967741936,40.8,11.81935483870968,14.945161290322577,9.59,5.693548387096776,7.016666666666667,6.90967741935484,2.423897319092617,4.416879559235435,15.435993720951712,26.970666994982928,28.109513989350255,9.418572439902741,2.81941580227154,3.565052787097172,2.21382621810459,1.3581519899042762,1.6197790021237963,1.6482501769829798,129.72875434762537,98.0,120.0,146.0,108.0,300.0,107.0,299.0,106.0,296.0,107.0,290.0,0.9556693793515784
1988,22.035342465753423,14.0,29.070606257358786,0.6353429733056485,14.8,5.32,6.800000000000001,8.2,23.0,40.60000000000002,75.60000000000002,4.3,4.333333333333333,4.5,4.678571428571429,5.156666666666666,7.5811111111111105,2.0,17.0,257.0,182.66666666666666,158.71428571428572,122.92857142857143,88.03333333333333,50.41111111111111,14.0,111.0,6.421481481481482,4.607446808510638,5.365634674922598,14.376923076923074,93.0,25.0,27.0,9.634666666666668,6.042548500881834,7.9548387096774205,5.7857142857142865,8.829032258064515,20.233333333333334,26.29032258064516,16.43,19.870967741935484,79.12903225806451,49.46666666666667,12.112903225806452,8.263333333333334,8.687096774193547,3.066058262566985,2.014198858620647,3.4030014049658703,7.547029056683535,10.133160924542144,6.128386527247635,7.658928993273571,30.498949383928686,18.45105621106815,4.668714021062055,3.082221586741101,3.3482947692996303,202.92494000920067,146.0,223.0,247.0,234.0,55.0,234.0,55.0,234.0,52.0,234.0,46.0,0.7098628127215759
