,mean,median,std,skew,range,5p,10p,25p,75p,90p,95p,min,min3d,min7d,min14d,min30d,min90d,low_count,low_dur,max,max3d,max7d,max14d,max30d,max90d,high_count,high_dur,rising,falling,change,change_3d,n_revs,n_rlimb,n_flimb,rlimb_slp,flimb_slp,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,jan_p,feb_p,mar_p,apr_p,may_p,jun_p,jul_p,aug_p,sep_p,oct_p,nov_p,dec_p,cen_jd,25p_jd,50p_jd,75p_jd,max_jd,min_jd,max3d_jd,min3d_jd,max7d_jd,min7d_jd,max14d_jd,min14d_jd,si
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,103.10876712328768,79.8,93.95871159600566,0.7739400074930848,77.0,39.0,40.0,43.0,120.0,194.80000000000018,239.60000000000002,39.0,39.0,39.0,39.15,39.480000000000004,40.36222222222223,0.0,0.0,839.0,732.6666666666666,504.42857142857144,339.07142857142856,287.3,209.17,11.0,147.0,26.664772727272727,11.88787878787879,16.43461538461538,54.27749999999998,72.0,10.0,15.0,44.06516666666666,15.628002886002886,243.558064516129,208.42857142857142,173.93548387096774,111.68000000000002,86.35806451612903,68.73333333333335,45.43870967741936,40.15806451612904,39.68,42.65806451612902,104.14,79.88387096774193,20.062070376540795,15.506965646065996,14.327203352225471,8.902422498385798,7.11338206495601,5.478986148421537,3.742822448431899,3.307851530635291,3.1630383661886503,3.513778507600697,8.30138143787515,6.5800976226726915,131.3245993723877,43.0,90.0,210.0,24.0,235.0,23.0,238.0,23.0,238.0,23.0,234.0,0.5581338789970529
1985,68.76684931506847,48.8,40.56822053615912,0.7096442615309226,48.8,38.0,38.0,40.0,88.8,132.60000000000002,158.8,37.1,37.46666666666667,37.642857142857146,37.978571428571435,38.53666666666666,39.35111111111111,6.0,38.0,246.0,231.33333333333334,197.85714285714286,168.85714285714286,146.26666666666668,130.6522222222222,3.0,97.0,5.691919191919192,3.2832432432432426,4.12288732394366,11.200943396226414,75.0,9.0,10.0,13.526851851851852,8.006903846153845,59.9225806451613,111.11785714285715,125.41935483870968,139.27,88.95806451612904,60.36,42.512903225806454,39.5258064516129,38.94333333333334,40.66451612903226,42.71333333333334,40.093548387096774,7.400826298112745,12.395666915007634,15.490101554189465,16.64588305132691,10.986896362136907,7.214371371997501,5.250618528360674,4.881692755748032,4.654600217530749,5.022330766258035,5.105199622309255,4.951812557022142,143.6016517994096,68.0,115.0,209.0,54.0,357.0,53.0,355.0,52.0,354.0,52.0,351.0,0.47275182616838524
1986,121.77917808219179,49.0,271.4018179735066,0.402367636008585,50.7,40.0,40.0,41.0,91.7,196.0000000000001,402.4000000000001,38.8,39.0,39.128571428571426,39.34285714285714,39.779999999999994,40.31333333333334,0.0,0.0,3080.0,2580.0,1683.142857142857,1140.5,729.4333333333333,338.59555555555556,5.0,97.0,49.28777777777779,22.377272727272725,30.786805555555564,86.92413793103448,72.0,8.0,10.0,163.25,48.15384615384615,97.24193548387096,596.625,304.83870967741933,110.57666666666664,74.08709677419354,52.636666666666656,43.874193548387105,40.138709677419364,40.42999999999999,40.774193548387096,53.266666666666666,45.38709677419355,6.7818688216263885,37.583184474931045,21.260129495561245,7.463092865145534,5.166998879624921,3.5525788874540476,3.059883822953741,2.7993628710398797,2.728720747636638,2.843682929353377,3.5950991464451714,3.1653970582280073,106.06113693323194,53.0,64.0,130.0,53.0,0.0,52.0,245.0,52.0,243.0,47.0,236.0,0.9044799285701616
1987,56.81369863013698,41.0,34.08857646227325,0.7216569416984135,34.0,35.0,36.0,36.0,70.0,94.80000000000007,119.0,35.0,35.0,35.0,35.214285714285715,35.56666666666667,35.81111111111111,6.0,139.0,231.0,207.66666666666666,170.0,141.57142857142858,119.86666666666666,101.38888888888889,4.0,43.0,11.796875,5.521739130434782,7.50990099009901,20.826666666666668,44.0,7.0,9.0,27.818027210884356,9.717957351290684,47.645161290322584,116.5,113.80645161290323,75.33333333333333,55.064516129032256,41.7,38.67741935483871,36.16129032258065,35.96666666666667,35.903225806451616,35.56666666666667,53.96774193548387,7.122534599990356,15.730337078651685,17.013068428412982,10.898394174663645,8.231663210686213,6.032695182523991,5.78193567054058,5.405796402565462,5.203259873655784,5.367218016106476,5.145392293967305,8.067705068235522,149.6866470559869,64.0,117.0,235.0,43.0,267.0,43.0,307.0,70.0,307.0,65.0,320.0,0.4208413126956588
1988,81.12328767123287,49.0,71.24185033045032,0.6040189125295509,67.0,35.0,35.0,37.0,104.0,157.60000000000002,184.20000000000005,34.0,34.0,34.142857142857146,34.5,34.766666666666666,35.166666666666664,3.0,103.0,636.0,531.6666666666666,389.85714285714283,278.0,205.13333333333333,168.48888888888888,5.0,112.0,24.805555555555557,10.975308641975309,15.23076923076923,46.904761904761905,58.0,14.0,17.0,34.772619047619045,15.348825684119802,90.2258064516129,187.0,135.5483870967742,175.5,93.58064516129032,57.3,40.516129032258064,35.70967741935484,34.86666666666667,35.12903225806452,52.13333333333333,46.064516129032256,9.44613306315434,17.68321513002364,14.191151637960148,17.78115501519757,9.797365754812564,5.805471124620061,4.241810199257007,3.738601823708207,3.5325903411009794,3.6778115501519757,5.281999324552515,4.822695035460993,131.32472137791288,53.0,106.0,182.0,40.0,249.0,39.0,249.0,39.0,248.0,38.0,245.0,0.5977423399166311
1989,76.28219178082192,43.0,63.62656320972411,0.5636964407571023,52.0,35.0,36.0,38.0,90.0,164.60000000000002,198.0,35.0,35.0,35.0,35.142857142857146,35.3,36.31111111111111,4.0,94.0,500.0,336.6666666666667,270.2857142857143,253.14285714285714,209.3,150.25555555555556,3.0,95.0,18.48051948051948,8.962264150943396,12.067796610169491,21.304878048780488,51.0,12.0,17.0,37.34305555555556,15.87115532487505,128.29032258064515,59.964285714285715,196.32258064516128,154.53333333333333,91.3225806451613,49.8,39.45161290322581,36.774193548387096,35.43333333333333,37.87096774193548,40.766666666666666,42.483870967741936,14.283661961713895,6.030240994145745,21.85827676615307,16.650504615163598,10.167726178931868,5.365801099019502,4.392486441834572,4.094386380777934,3.8178357217253884,4.216499658801135,4.392486441834572,4.7300937398987175,131.40588298674712,67.0,104.0,185.0,9.0,249.0,9.0,249.0,64.0,249.0,64.0,249.0,0.6201059856662
1990,59.33424657534247,46.0,30.45586170351419,0.7752689661541302,39.0,36.0,36.0,38.0,77.0,92.60000000000002,104.40000000000003,28.0,29.0,34.285714285714285,36.0,36.03333333333333,36.977777777777774,9.0,100.0,310.0,245.66666666666666,191.42857142857142,148.0,116.0,97.74444444444444,6.0,63.0,7.666666666666667,4.5608108108108105,5.7106382978723405,21.63529411764706,52.0,10.0,12.0,12.518333333333333,5.431988150738152,66.06451612903226,75.25,88.83870967741936,108.56666666666666,86.7741935483871,55.06666666666667,41.03225806451613,38.25806451612903,36.233333333333334,37.096774193548384,39.833333333333336,40.61290322580645,9.456526758092073,9.728955995751951,12.716442720598419,15.039017407766542,12.420926259408043,7.628018654476612,5.873389666158748,5.476289421434178,5.019162395530313,5.3100614120145915,5.517846423789075,5.813362884979453,150.29607055455511,73.0,124.0,223.0,117.0,355.0,117.0,353.0,116.0,352.0,115.0,262.0,0.379296136969853
1991,51.72986301369863,45.0,22.08091499079126,0.8699037147669134,31.0,34.0,34.0,35.0,66.0,80.0,89.0,5.8,6.266666666666667,8.342857142857143,23.957142857142856,34.0,34.27777777777778,7.0,141.0,176.0,154.33333333333334,124.85714285714286,104.28571428571429,92.16666666666667,77.73333333333333,7.0,24.0,9.453333333333335,3.4853503184713377,5.135483870967742,16.061728395061728,43.0,10.0,11.0,11.899444444444445,4.928030303030303,48.141935483870974,77.71428571428571,83.7741935483871,71.56666666666666,58.16129032258065,45.36666666666667,37.354838709677416,34.645161290322584,34.0,34.41935483870968,41.7,55.96774193548387,7.904074909699492,11.524569152711132,13.754276695584014,11.370978846907539,9.54908004703041,7.208151937885961,6.133019797260795,5.688137532174521,5.402141790333344,5.6510640100839975,6.625568019320601,9.188937261008187,161.3764021735676,68.0,137.0,253.0,62.0,6.0,62.0,4.0,61.0,1.0,61.0,0.0,0.33154112237149663
1992,50.14246575342466,40.0,26.89230636939238,0.7977270243689214,20.0,33.0,33.0,35.0,55.0,77.60000000000002,99.0,33.0,33.0,33.0,33.0,33.166666666666664,33.58888888888889,10.0,161.0,260.0,221.33333333333334,182.14285714285714,144.85714285714286,109.53333333333333,82.71111111111111,3.0,26.0,7.590909090909091,3.425675675675676,4.710280373831775,16.63888888888889,46.0,7.0,8.0,14.495238095238093,5.184138257575757,51.645161290322584,95.57142857142857,75.19354838709677,77.96666666666667,50.354838709677416,39.03333333333333,36.516129032258064,33.903225806451616,33.43333333333333,33.61290322580645,38.46666666666667,40.03225806451613,8.747677849415364,14.621352857611189,12.736312971259972,12.780024041088407,8.529122500273195,6.398207846137034,6.185116380723418,5.742541798710524,5.480275379739919,5.693366845153535,6.305321822751613,6.780679707135833,152.50584635558954,61.0,123.0,238.0,52.0,239.0,52.0,239.0,51.0,239.0,50.0,239.0,0.34157536492006846
1993,84.22191780821917,45.0,89.67058473203491,0.5343027227481214,61.0,35.0,36.0,36.0,97.0,166.00000000000023,239.20000000000005,27.0,29.333333333333332,32.57142857142857,33.92857142857143,34.56666666666667,35.51111111111111,7.0,128.0,714.0,642.0,520.1428571428571,407.35714285714283,309.5,191.53333333333333,6.0,102.0,23.07246376811594,10.082278481012658,14.030837004405287,50.73913043478261,47.0,14.0,14.0,28.416269841269838,14.457332933173271,54.45161290322581,67.35714285714286,278.9032258064516,171.06666666666666,110.25806451612904,95.5,45.29032258064516,38.38709677419355,36.0,35.806451612903224,35.56666666666667,40.483870967741936,5.491038027390131,6.13512898083992,28.125304967307507,16.69431703588042,11.118701408542337,9.319800917341661,4.567190397189421,3.8710516899255065,3.513223382453401,3.610812920854884,3.470934582479425,4.082495689795388,134.5735011873394,76.0,106.0,171.0,75.0,327.0,75.0,327.0,74.0,323.0,73.0,316.0,0.6857239873748564
1994,43.81917808219178,40.0,13.519145810073965,0.9128423158684507,22.0,30.0,30.0,32.0,54.0,63.0,66.80000000000001,30.0,30.0,30.0,30.071428571428573,30.2,30.522222222222222,8.0,163.0,111.0,94.0,73.14285714285714,66.71428571428571,62.06666666666667,55.888888888888886,2.0,3.0,5.306666666666667,2.785185185185185,3.6857142857142855,10.431034482758621,48.0,9.0,8.0,9.111111111111112,6.042361111111111,50.645161290322584,42.714285714285715,58.935483870967744,60.833333333333336,44.61290322580645,36.56666666666667,32.32258064516129,30.483870967741936,30.366666666666667,33.096774193548384,42.96666666666667,62.03225806451613,9.816181067900462,7.477804176566212,11.423033637614106,11.410528948355633,8.646992622233338,6.858822058271851,6.264849318494435,5.908465674627986,5.695885957233963,6.414905589596098,8.059272227085156,12.023258722020758,174.40565211954484,79.0,156.0,280.0,334.0,226.0,334.0,226.0,333.0,226.0,350.0,226.0,0.25251969488558135
1995,107.59452054794521,63.0,123.50912549105308,0.585531676512528,93.0,36.0,36.0,38.0,131.0,190.60000000000002,318.00000000000045,35.0,35.0,35.0,35.0,35.63333333333333,36.46666666666667,4.0,96.0,962.0,801.0,599.5714285714286,407.5,360.3,222.07777777777778,6.0,151.0,47.833333333333336,18.494565217391305,27.229007633587788,79.79432624113475,45.0,14.0,13.0,46.71530612244898,22.788056494787263,161.58064516129033,353.7857142857143,148.3548387096774,98.13333333333334,100.96774193548387,55.7,42.70967741935484,36.67741935483871,35.733333333333334,37.16129032258065,65.3,173.19354838709677,12.754634345080465,25.22407822367081,11.71063353025056,7.496435119168873,7.970055001018538,4.2549399062945605,3.3713587288653493,2.8951925035648807,2.729680179262579,2.9333876553269507,4.988286820126299,13.671317987370134,139.6952536158077,47.0,91.0,235.0,48.0,254.0,47.0,254.0,47.0,254.0,47.0,254.0,0.6827260246067437
1996,161.63013698630138,79.0,313.9754857741359,0.48877023476565806,141.0,37.0,37.0,42.0,183.0,307.20000000000005,409.6,36.0,36.0,36.0,36.0,37.0,38.644444444444446,3.0,49.0,3600.0,3066.6666666666665,1857.142857142857,1120.0,682.0333333333333,367.84444444444443,3.0,179.0,105.73913043478261,31.537688442211056,50.64179104477612,113.5304347826087,59.0,15.0,18.0,140.2255555555556,44.70891053391054,241.29032258064515,661.8214285714286,228.8709677419355,148.96666666666667,95.93548387096774,57.9,44.45161290322581,38.96774193548387,37.166666666666664,41.806451612903224,65.1,314.80645161290323,12.679040596660734,31.41113653699466,12.026442918891432,7.5752182388337985,5.041105178404949,2.944317315026697,2.3357911687431137,2.0476311551826427,1.889990677176032,2.196796338672769,3.3104500381388258,16.542079837274347,132.14206288668532,38.0,70.0,226.0,37.0,241.0,37.0,241.0,37.0,241.0,37.0,241.0,0.8290779227865847
1997,143.23013698630137,56.0,205.07684272128145,0.390979169456187,151.0,43.0,43.0,46.0,197.0,280.0,350.0,42.0,42.0,42.0,42.142857142857146,42.733333333333334,44.0,0.0,0.0,2100.0,1833.3333333333333,1170.0,767.8571428571429,472.0,358.1666666666667,1.0,152.0,24.859154929577464,20.978021978021978,22.067193675889328,91.91964285714286,49.0,10.0,14.0,36.54242424242425,16.513895861374852,478.7096774193548,343.39285714285717,250.96774193548387,182.13333333333333,130.1290322580645,63.93333333333333,47.74193548387097,42.903225806451616,43.43333333333333,47.74193548387097,50.9,48.645161290322584,28.386158878325908,18.39170603875361,14.881692457774632,10.451615371372828,7.716291436331987,3.6687771380477825,2.8309646320702386,2.5440425409820384,2.4923965645861625,2.8309646320702386,2.9208668872778745,2.8845234224067027,93.90814667457296,24.0,67.0,129.0,0.0,218.0,0.0,218.0,0.0,218.0,0.0,216.0,0.7914784925034668
1998,90.86301369863014,63.0,84.35357988984643,0.6933514246947082,62.0,41.0,41.0,43.0,105.0,175.80000000000007,211.8,39.0,40.0,40.285714285714285,40.357142857142854,40.8,41.388888888888886,0.0,0.0,900.0,720.6666666666666,396.14285714285717,242.14285714285714,209.36666666666667,159.96666666666667,10.0,130.0,31.303797468354432,13.642857142857142,19.630901287553648,52.90625,52.0,16.0,16.0,36.08333333333333,15.077480158730157,105.09677419354838,205.82142857142858,142.3548387096774,100.53333333333333,99.7741935483871,71.03333333333333,47.225806451612904,42.516129032258064,40.8,41.354838709677416,51.166666666666664,150.58064516129033,9.823609226594302,17.376752600633196,13.306196291270918,9.093924317804914,9.326096788783357,6.425448515000753,4.414292175486206,3.974069048695914,3.690637720488467,3.8655208804462533,4.628373285089703,14.075079149706015,155.36529473842907,54.0,121.0,253.0,361.0,11.0,361.0,248.0,358.0,253.0,41.0,246.0,0.5541565728848502
1999,110.8986301369863,81.0,85.18600517441534,0.730396758733139,96.0,43.0,44.0,47.0,143.0,203.20000000000005,282.0,42.0,42.0,42.0,42.0,42.7,44.55555555555556,0.0,0.0,644.0,438.0,372.42857142857144,324.2857142857143,284.53333333333336,218.65555555555557,3.0,179.0,28.0,13.125,17.485943775100402,37.18421052631579,51.0,16.0,16.0,39.62886904761905,21.708189380064383,220.96774193548387,270.0,169.96774193548387,127.2,132.29032258064515,92.4,54.096774193548384,47.354838709677416,44.36666666666667,43.516129032258064,61.1,79.09677419354838,16.922772864271952,18.676812095459262,13.016947477642177,9.427343248184199,10.131429418449528,6.848164435001729,4.142991254508622,3.6266613963140473,3.288205939028608,3.3326745392558923,4.528385789811749,6.0576115420722365,125.54343099955531,45.0,94.0,180.0,37.0,282.0,18.0,282.0,17.0,282.0,47.0,282.0,0.5527892371096934
2000,93.3972602739726,48.0,77.22635999077909,0.5139337048987973,76.0,40.0,40.0,41.0,117.0,225.4000000000001,255.8,39.0,39.666666666666664,39.857142857142854,40.0,40.1,40.9,0.0,0.0,414.0,343.3333333333333,323.7142857142857,278.7142857142857,263.3666666666667,216.85555555555555,1.0,111.0,20.482758620689655,8.528169014084508,11.995,25.36764705882353,48.0,13.0,15.0,25.34102564102564,16.92979756153669,74.48387096774194,214.57142857142858,249.29032258064515,187.9,96.3225806451613,56.46666666666667,45.193548387096776,40.903225806451616,40.1,41.806451612903224,41.1,42.806451612903224,6.77324728659431,17.623936638310354,22.6694045174538,16.535640950425346,8.75916691111763,4.9691991786447645,4.109709592255793,3.7195658550894692,3.528894103842769,3.801701378703432,3.616896450572015,3.89263713699032,124.08102082722206,59.0,94.0,165.0,57.0,325.0,57.0,323.0,57.0,319.0,56.0,249.0,0.6642585902747411
2001,48.48630136986304,43.0,17.81545208226493,0.8868484249187734,14.0,37.0,38.0,39.0,53.0,64.60000000000002,73.80000000000001,37.0,37.0,37.0,37.0,37.333333333333336,38.114444444444445,4.0,57.0,244.0,169.0,141.78571428571428,105.91428571428574,82.01000000000002,58.08888888888889,2.0,8.0,7.552542372881358,3.897297297297297,5.165882352941176,12.491489361702127,26.0,8.0,8.0,15.03125,9.165854978354977,42.25806451612903,44.0,53.03225806451613,61.3,58.12903225806452,44.13333333333333,40.225806451612904,38.58064516129032,37.63333333333333,38.593548387096774,42.09333333333333,81.13870967741937,7.402175448509672,6.961435230964821,9.28944766209916,10.391298205961288,10.182229128407961,7.481282667043362,7.0461929651080615,6.758016669021044,6.379432123181236,6.760276875264864,7.135471111738941,14.212741912699528,185.4849781042519,93.0,173.0,287.0,347.0,252.0,347.0,252.0,347.0,252.0,346.0,252.0,0.21735350748016075
